2022-02-08T20:20:18.764Z [error] : sub is not async iterable
2022-02-08T20:20:18.766Z [info] : subscription closed!
2022-02-08T20:39:05.694Z [info] : Server :: Running @ 'http://localhost:3000.
2022-02-08T20:40:13.284Z [info] : Server :: Running @ 'http://localhost:3000.
2022-02-08T20:44:41.244Z [info] : Server :: Running @ 'http://localhost:3000.
2022-02-08T20:49:50.150Z [info] : Server :: Running @ 'http://localhost:3000.
2022-02-08T20:51:44.213Z [info] : Server :: Running @ 'http://localhost:3000.
2022-02-08T20:52:58.674Z [info] : Server :: Running @ 'http://localhost:3000.
2022-02-08T20:53:16.249Z [info] : Server :: Running @ 'http://localhost:3000.
2022-02-08T20:57:49.382Z [info] : Server :: Running @ 'http://localhost:3000.
2022-02-08T20:58:03.116Z [info] : Server :: Running @ 'http://localhost:3000.
2022-02-08T21:01:22.548Z [info] : Server :: Running @ 'http://localhost:3000.
2022-02-08T21:02:16.622Z [info] : Server :: Running @ 'http://localhost:3000.
2022-02-08T21:04:27.916Z [info] : Server :: Running @ 'http://localhost:3000.
